event_ticker,market_ticker,checkpoint_offset_seconds,checkpoint_ts,model_probability,kalshi_yes_bid,kalshi_yes_ask,actual_result,kalshi_implied_vol,converted_dvol
KXBTCD-26SEP1108,KXBTCD-26SEP1108-T77999.99,3600,1789124400,0.0007523718095588383,0.0,0.01,no,481.691952813218,0.38689999999999997
KXBTCD-26SEP1108,KXBTCD-26SEP1108-T77999.99,600,1789127400,0.0,0.0,0.01,no,1179.789368440752,0.38939999999999997
KXBTCD-26SEP1108,KXBTCD-26SEP1108-T77999.99,120,1789127880,0.0,0.0,0.01,no,2638.4235320676808,0.3897
KXBTCD-26SEP1107,KXBTCD-26SEP1107-T76999.99,3600,1789120800,0.5640455486603416,0.58,0.59,no,0.2922267700857783,0.387
KXBTCD-26SEP1107,KXBTCD-26SEP1107-T76999.99,1800,1789122600,0.5682268872787744,0.52,0.53,no,1.0079244415390336,0.3868
KXBTCD-26SEP1107,KXBTCD-26SEP1107-T76999.99,600,1789123800,0.5211792780306016,0.36,0.37,no,158.3071858110716,0.3868
KXBTCD-26SEP1107,KXBTCD-26SEP1107-T76999.99,120,1789124280,0.5307705735071674,0.61,0.63,no,0.09825749972399109,0.387
KXBTCD-26SEP1106,KXBTCD-26SEP1106-T76999.99,3600,1789117200,0.8671886513920666,0.98,0.99,yes,0.1994095451245298,0.3882
KXBTCD-26SEP1106,KXBTCD-26SEP1106-T76999.99,1800,1789119000,0.717183103934222,0.87,0.88,yes,0.19399048469468494,0.38770000000000004
KXBTCD-26SEP1106,KXBTCD-26SEP1106-T76999.99,600,1789120200,0.4736096604803437,0.47,0.48,yes,28.343316352610824,0.3868
KXBTCD-26SEP1106,KXBTCD-26SEP1106-T76999.99,120,1789120680,0.8121710368180289,0.67,0.69,yes,0.7318797640978109,0.3868
KXBTCD-26SEP1105,KXBTCD-26SEP1105-T76999.99,3600,1789113600,0.7449111844578816,0.92,0.93,yes,0.18033536748166817,0.3932
KXBTCD-26SEP1105,KXBTCD-26SEP1105-T76999.99,1800,1789115400,0.9731150236331682,0.98,0.99,yes,0.34773803962568156,0.3912
KXBTCD-26SEP1105,KXBTCD-26SEP1105-T76999.99,600,1789116600,0.9926091858780424,0.99,1.0,yes,0.3678670492418413,0.3887
KXBTCD-26SEP1105,KXBTCD-26SEP1105-T76999.99,120,1789117080,0.9999999982933263,0.99,1.0,yes,0.8907309570120068,0.3883
KXBTCD-26SEP1104,KXBTCD-26SEP1104-T77299.99,3600,1789110000,0.44839968318959905,0.39,0.4,no,49.66120767068775,0.39380000000000004
KXBTCD-26SEP1104,KXBTCD-26SEP1104-T77299.99,1800,1789111800,0.48992444786317274,0.51,0.52,no,,0.3956
KXBTCD-26SEP1104,KXBTCD-26SEP1104-T77299.99,600,1789113000,0.2824382053450095,0.05,0.06,no,732.6604449911937,0.39490000000000003
KXBTCD-26SEP1104,KXBTCD-26SEP1104-T77299.99,120,1789113480,0.06466460402111074,0.01,0.02,no,2224.676030470954,0.39380000000000004
KXBTCD-26SEP1103,KXBTCD-26SEP1103-T77199.99,3600,1789106400,0.49058002540063284,0.5,0.51,yes,,0.39399999999999996
KXBTCD-26SEP1103,KXBTCD-26SEP1103-T77199.99,1800,1789108200,0.5159195735251297,0.67,0.68,yes,0.0359207520529457,0.39380000000000004
KXBTCD-26SEP1103,KXBTCD-26SEP1103-T77199.99,600,1789109400,0.6451601828062343,0.85,0.86,yes,0.1388686647619851,0.39390000000000003
KXBTCD-26SEP1103,KXBTCD-26SEP1103-T77199.99,120,1789109880,0.8316201414449612,0.98,0.99,yes,0.17437102246884198,0.39380000000000004
KXBTCD-26SEP1102,KXBTCD-26SEP1102-T77299.99,3600,1789102800,0.2346156058342171,0.07,0.08,no,269.2682732188238,0.3932
KXBTCD-26SEP1102,KXBTCD-26SEP1102-T77299.99,1800,1789104600,0.17125015461908966,0.03,0.04,no,479.4544459534035,0.3935
KXBTCD-26SEP1102,KXBTCD-26SEP1102-T77299.99,600,1789105800,0.1627524680859586,0.02,0.03,no,898.4837555347464,0.3943
KXBTCD-26SEP1102,KXBTCD-26SEP1102-T77299.99,120,1789106280,0.08623238443819159,0.0,0.01,no,2640.738783263747,0.39399999999999996
KXBTCD-26SEP1101,KXBTCD-26SEP1101-T77199.99,3600,1789099200,0.14558953292038224,0.05,0.06,no,298.9039864607045,0.3962
KXBTCD-26SEP1101,KXBTCD-26SEP1101-T77199.99,1800,1789101000,0.4321330774624515,0.34,0.35,no,105.41950052147178,0.3946
